external_id,age_days,fc_mpa,specimen_count,test_standard,lab,notes,model
L001,7,31.8,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L001,28,43.2,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L002,7,32.5,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L002,28,44.1,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L003,7,30.1,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L003,28,41.8,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L004,7,33.0,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L004,28,44.8,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L005,7,31.2,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L005,28,42.5,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L006,7,28.5,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L006,28,40.2,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L007,7,32.1,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L007,28,43.6,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L008,7,33.4,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L008,28,45.0,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L009,7,30.8,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L009,28,42.0,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L010,7,31.5,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L010,28,43.0,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L011,7,34.0,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L011,28,45.8,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L012,7,31.8,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L012,28,43.2,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L013,7,29.5,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L013,28,41.0,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L014,7,32.8,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L014,28,44.5,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
L015,7,31.0,3,ABNT NBR 5739,Lab Planta,cura umida,arrhenius
L015,28,42.2,3,ABNT NBR 5739,Lab Planta,ok,arrhenius
